"id","genus","species","scientificname"
2871,"Salix","miyabeana","Salix miyabeana"
2075,"Salix","discolor","Salix discolor"
1243,"Salix",NA,"Salix"
36606,"Salix","planifolia","Salix planifolia"
2583,"Salix","viminalis","Salix viminalis"
50922,"Salix",NA,"Salix dasyclados phylicifolia"
2869,"Salix","dasyclados","Salix dasyclados"
36702,"Salix","purpurea","Salix purpurea"
2870,"Salix","interior × eriocephala","Salix interior × eriocephala"
2872,"Salix","eriocephala × interior","Salix eriocephala × interior"
2937,"Salix","sachalinensis","Salix sachalinensis"
51120,"Salix","sachalinensis × miyabeana","Salix sachalinensis × miyabeana"
35796,"Salix","glauca","Salix glauca"
2079,"Salix","eriocephala","Salix eriocephala"
51193,"Salix","Salix clone","Salix clone"
